"ID","Name_Lang_enUS","Name_Lang_enGB","Name_Lang_koKR","Name_Lang_frFR","Name_Lang_deDE","Name_Lang_enCN","Name_Lang_zhCN","Name_Lang_enTW","Name_Lang_zhTW","Name_Lang_esES","Name_Lang_esMX","Name_Lang_ruRU","Name_Lang_ptPT","Name_Lang_ptBR","Name_Lang_itIT","Name_Lang_Unk","Name_Lang_Mask","SpellIconID","RaceMask","ClassMask","PetTalentMask","OrderIndex","BackgroundFile"
"409","Tenacity","끈기","Ténacité","Hartnäckigkeit","坚韧","堅毅","Tenacidad","Tenacidad","Упорство","","","","","","","","16712190","1559","0","0","2","0","HunterPetTenacity"
"410","Ferocity","야성","Férocité","Wildheit","狂野","兇暴","Ferocidad","Ferocidad","Свирепость","","","","","","","","16712190","496","0","0","1","0","HunterPetFerocity"
"411","Cunning","교활","Ruse","Gerissenheit","狡诈","靈巧","Astucia","Astucia","Хитрость","","","","","","","","16712190","2223","0","0","4","0","HunterPetCunning"
"41","Fire","화염","Feu","Feuer","火焰","火焰","Fuego","Fuego","Огонь","","","","","","","","16712190","183","16383","128","0","1","MageFire"
"164","Fury","분노","Fureur","Furor","狂怒","狂怒","Furia","Furia","Неистовство","","","","","","","","16712190","561","16383","1","0","1","WarriorFury"
"181","Combat","전투","Combat","Kampf","战斗","戰鬥","Combate","Combate","Бой","","","","","","","","16712190","243","16383","8","0","1","RogueCombat"
"202","Holy","신성","Sacré","Heilig","神圣","神聖","Sagrado","Sagrado","Свет","","","","","","","","16712190","2873","16383","16","0","1","PriestHoly"
"263","Enhancement","고양","Amélioration","Verstärk.","增强","增強","Mejora","Mejora","Совершенствование","","","","","","","","16712190","19","16383","64","0","1","ShamanEnhancement"
"281","Feral Combat","야성","Combat farouche","Wilder Kampf","野性战斗","野性戰鬥","Combate feral","Combate feral","Сила зверя","","","","","","","","16712190","107","16383","1024","0","1","DruidFeralCombat"
"303","Demonology","악마","Démonologie","Dämonologie","恶魔学识","惡魔學識","Demonología","Demonología","Демонология","","","","","","","","16712190","90","16383","256","0","1","WarlockSummoning"
"363","Marksmanship","사격","Précision","Treffsicherheit","射击","射擊","Puntería","Puntería","Стрельба","","","","","","","","16712190","126","16383","4","0","1","HunterMarksmanship"
"383","Protection","보호","Protection","Schutz","防护","防護","Protección","Protección","Защита","","","","","","","","16712190","291","16383","2","0","1","PaladinProtection"
"399","Frost","냉기","Givre","Frost","冰霜","冰霜","Escarcha","Escarcha","Лед","","","","","","","","16712190","2632","16383","32","0","1","DeathKnightFrost"
"61","Frost","냉기","Givre","Frost","冰霜","冰霜","Escarcha","Escarcha","Лед","","","","","","","","16712190","188","16383","128","0","2","MageFrost"
"163","Protection","방어","Protection","Schutz","防护","防護","Protección","Protección","Защита","","","","","","","","16712190","1463","16383","1","0","2","WarriorProtection"
"183","Subtlety","잠행","Finesse","Täuschung","敏锐","敏銳","Sutileza","Sutileza","Скрытность","","","","","","","","16712190","250","16383","8","0","2","RogueSubtlety"
"203","Shadow","암흑","Ombre","Schatten","暗影","暗影","Sombra","Sombra","Тьма","","","","","","","","16712190","234","16383","16","0","2","PriestShadow"
"262","Restoration","복원","Restauration","Wiederherst.","恢复","恢復","Restauración","Restauración","Исцеление","","","","","","","","16712190","13","16383","64","0","2","ShamanRestoration"
"282","Restoration","회복","Restauration","Wiederherst.","恢复","恢復","Restauración","Restauración","Исцеление","","","","","","","","16712190","962","16383","1024","0","2","DruidRestoration"
"301","Destruction","파괴","Destruction","Zerstörung","毁灭","毀滅","Destrucción","Destrucción","Разрушение","","","","","","","","16712190","547","16383","256","0","2","WarlockDestruction"
"362","Survival","생존","Survie","Überleben","生存","生存","Supervivencia","Supervivencia","Выживание","","","","","","","","16712190","257","16383","4","0","2","HunterSurvival"
"381","Retribution","징벌","Vindicte","Vergeltung","惩戒","懲戒","Reprensión","Reprensión","Воздаяние","","","","","","","","16712190","555","16383","2","0","2","PaladinCombat"
"400","Unholy","부정","Impie","Unheilig","邪恶","穢邪","Profano","Profano","Нечестивость","","","","","","","","16712190","2633","16383","32","0","2","DeathKnightUnholy"
